Year|Prov|Grade|Group|Tot|Grads|Perc
95/96| Prov |07|XAB|47092|45629|97
95/96| Prov |07|ELL|5154|4970|96
95/96| Prov |07|FRI|3152|3093|98
95/96| Prov |07|SN|0|0|
95/96| Prov |08|ALL|49607|46555|94
95/96| Prov |08|FEM|24076|22766|95
95/96| Prov |08|MAL|25531|23789|93
95/96| Prov |08|AB|2656|2144|81
95/96| Prov |08|XAB|46951|44411|95
95/96| Prov |08|ELL|3375|3172|94
95/96| Prov |08|FRI|2575|2511|98
95/96| Prov |08|SN|0|0|
95/96| Prov |09|ALL|47503|43746|92
95/96| Prov |09|FEM|23274|21616|93
95/96| Prov |09|MAL|24229|22130|91
95/96| Prov |09|AB|2467|1883|76
95/96| Prov |09|XAB|45036|41863|93
95/96| Prov |09|ELL|3834|3619|94
95/96| Prov |09|FRI|2293|2236|98
95/96| Prov |09|SN|0|0|
95/96| Prov |10|ALL|47778|41844|88
95/96| Prov |10|FEM|23463|20742|88
95/96| Prov |10|MAL|24315|21102|87
95/96| Prov |10|AB|2290|1493|65
95/96| Prov |10|XAB|45488|40351|89
95/96| Prov |10|ELL|4250|3833|90
95/96| Prov |10|FRI|1965|1890|96
95/96| Prov |10|SN|0|0|
95/96| Prov |11|ALL|46527|37635|81
95/96| Prov |11|FEM|23006|18944|82
95/96| Prov |11|MAL|23521|18691|79
95/96| Prov |11|AB|2068|1182|57
95/96| Prov |11|XAB|44459|36453|82
95/96| Prov |11|ELL|4782|3738|78
95/96| Prov |11|FRI|1557|1502|96
95/96| Prov |11|SN|0|0|
96/97| Prov |01|ALL|49045|47131|96
96/97| Prov |01|FEM|24113|23254|96
96/97| Prov |01|MAL|24932|23877|96
96/97| Prov |01|AB|2992|2781|93
96/97| Prov |01|XAB|46053|44350|96
96/97| Prov |01|ELL|6200|5940|96
96/97| Prov |01|FRI|2748|2618|95
96/97| Prov |01|SN|269|248|92
96/97| Prov |02|ALL|46619|45061|97
96/97| Prov |02|FEM|23001|22296|97
96/97| Prov |02|MAL|23618|22765|96
96/97| Prov |02|AB|2838|2655|94
96/97| Prov |02|XAB|43781|42406|97
96/97| Prov |02|ELL|6001|5749|96
96/97| Prov |02|FRI|2501|2420|97
96/97| Prov |02|SN|399|371|93
96/97| Prov |03|ALL|47745|46068|96
96/97| Prov |03|FEM|23568|22771|97
96/97| Prov |03|MAL|24177|23297|96
96/97| Prov |03|AB|2947|2785|95
96/97| Prov |03|XAB|44798|43283|97
96/97| Prov |03|ELL|6250|5957|95
96/97| Prov |03|FRI|2359|2285|97
96/97| Prov |03|SN|378|353|93
96/97| Prov |04|ALL|48119|46713|97
96/97| Prov |04|FEM|23494|22835|97
96/97| Prov |04|MAL|24625|23878|97
96/97| Prov |04|AB|2913|2773|95
96/97| Prov |04|XAB|45206|43940|97
96/97| Prov |04|ELL|5755|5522|96
96/97| Prov |04|FRI|2225|2181|98
96/97| Prov |04|SN|457|429|94
96/97| Prov |05|ALL|46954|45593|97
96/97| Prov |05|FEM|22636|22018|97
96/97| Prov |05|MAL|24318|23575|97
96/97| Prov |05|AB|2874|2737|95
96/97| Prov |05|XAB|44080|42856|97
96/97| Prov |05|ELL|5443|5215|96
96/97| Prov |05|FRI|1931|1892|98
96/97| Prov |05|SN|483|452|94
96/97| Prov |06|ALL|51203|49803|97
96/97| Prov |06|FEM|25096|24475|98
96/97| Prov |06|MAL|26107|25328|97
96/97| Prov |06|AB|2986|2843|95
96/97| Prov |06|XAB|48217|46960|97
96/97| Prov |06|ELL|5585|5377|96
96/97| Prov |06|FRI|3134|3084|98
96/97| Prov |06|SN|546|506|93
96/97| Prov |07|ALL|51297|49794|97
96/97| Prov |07|FEM|24931|24255|97
96/97| Prov |07|MAL|26366|25539|97
96/97| Prov |07|AB|2916|2730|94
96/97| Prov |07|XAB|48381|47064|97
96/97| Prov |07|ELL|5422|5203|96
96/97| Prov |07|FRI|2901|2848|98
96/97| Prov |07|SN|556|512|92
96/97| Prov |08|ALL|51024|48114|94
96/97| Prov |08|FEM|24724|23457|95
96/97| Prov |08|MAL|26300|24657|94
96/97| Prov |08|AB|2961|2402|81
96/97| Prov |08|XAB|48063|45712|95
96/97| Prov |08|ELL|4042|3815|94
96/97| Prov |08|FRI|2556|2513|98
96/97| Prov |08|SN|683|506|74
96/97| Prov |09|ALL|50506|46580|92
96/97| Prov |09|FEM|24548|22818|93
96/97| Prov |09|MAL|25958|23762|92
96/97| Prov |09|AB|2791|2160|77
96/97| Prov |09|XAB|47715|44420|93
96/97| Prov |09|ELL|4152|3861|93
96/97| Prov |09|FRI|2296|2247|98
96/97| Prov |09|SN|600|404|67
96/97| Prov |10|ALL|49539|43804|88
96/97| Prov |10|FEM|24316|21651|89
96/97| Prov |10|MAL|25223|22153|88
96/97| Prov |10|AB|2534|1742|69
96/97| Prov |10|XAB|47005|42062|89
96/97| Prov |10|ELL|4846|4347|90
96/97| Prov |10|FRI|2037|1982|97
96/97| Prov |10|SN|572|339|59
96/97| Prov |11|ALL|50796|40760|80
96/97| Prov |11|FEM|25172|20522|82
96/97| Prov |11|MAL|25624|20238|79
96/97| Prov |11|AB|2373|1326|56
96/97| Prov |11|XAB|48423|39434|81
96/97| Prov |11|ELL|5141|3960|77
96/97| Prov |11|FRI|1591|1544|97
96/97| Prov |11|SN|407|198|49
97/98| Prov |01|ALL|48578|46524|96
97/98| Prov |01|FEM|23652|22751|96
97/98| Prov |01|MAL|24926|23773|95
97/98| Prov |01|AB|3143|2933|93
97/98| Prov |01|XAB|45435|43591|96
97/98| Prov |01|ELL|6628|6313|95
97/98| Prov |01|FRI|2799|2691|96
97/98| Prov |01|SN|302|275|91
97/98| Prov |02|ALL|49550|47836|97
97/98| Prov |02|FEM|24349|23538|97
97/98| Prov |02|MAL|25201|24298|96
97/98| Prov |02|AB|3225|3051|95
97/98| Prov |02|XAB|46325|44785|97
97/98| Prov |02|ELL|6525|6297|97
97/98| Prov |02|FRI|2496|2399|96
97/98| Prov |02|SN|417|395|95
97/98| Prov |03|ALL|49101|47092|96
97/98| Prov |03|FEM|23975|23038|96
97/98| Prov |03|MAL|25126|24054|96
97/98| Prov |03|AB|3155|2960|94
97/98| Prov |03|XAB|45946|44132|96
97/98| Prov |03|ELL|6403|6123|96
97/98| Prov |03|FRI|2367|2317|98
97/98| Prov |03|SN|495|450|91
97/98| Prov |04|ALL|49593|47948|97
97/98| Prov |04|FEM|24253|23496|97
97/98| Prov |04|MAL|25340|24452|96
97/98| Prov |04|AB|3258|3071|94
97/98| Prov |04|XAB|46335|44877|97
97/98| Prov |04|ELL|6741|6418|95
97/98| Prov |04|FRI|2238|2180|97
97/98| Prov |04|SN|511|476|93
97/98| Prov |05|ALL|49110|47587|97
97/98| Prov |05|FEM|23910|23230|97
97/98| Prov |05|MAL|25200|24357|97
97/98| Prov |05|AB|3147|2982|95
97/98| Prov |05|XAB|45963|44605|97
97/98| Prov |05|ELL|6072|5828|96
97/98| Prov |05|FRI|2097|2047|98
97/98| Prov |05|SN|508|476|94
97/98| Prov |06|ALL|48044|46480|97
97/98| Prov |06|FEM|23167|22461|97
97/98| Prov |06|MAL|24877|24019|97
97/98| Prov |06|AB|3027|2858|94
97/98| Prov |06|XAB|45017|43622|97
97/98| Prov |06|ELL|5667|5400|95
97/98| Prov |06|FRI|2631|2564|97
97/98| Prov |06|SN|584|538|92
97/98| Prov |07|ALL|52393|50724|97
97/98| Prov |07|FEM|25679|24911|97
97/98| Prov |07|MAL|26714|25813|97
97/98| Prov |07|AB|3147|2905|92
97/98| Prov |07|XAB|49246|47819|97
97/98| Prov |07|ELL|5724|5534|97
97/98| Prov |07|FRI|2884|2832|98
97/98| Prov |07|SN|645|586|91
97/98| Prov |08|ALL|52820|49618|94
97/98| Prov |08|FEM|25683|24251|94
97/98| Prov |08|MAL|27137|25367|93
97/98| Prov |08|AB|3069|2542|83
97/98| Prov |08|XAB|49751|47076|95
97/98| Prov |08|ELL|4940|4621|94
97/98| Prov |08|FRI|2392|2346|98
97/98| Prov |08|SN|613|461|75
97/98| Prov |09|ALL|52105|47793|92
97/98| Prov |09|FEM|25265|23356|92
97/98| Prov |09|MAL|26840|24437|91
97/98| Prov |09|AB|2961|2314|78
97/98| Prov |09|XAB|49144|45479|93
97/98| Prov |09|ELL|5064|4639|92
97/98| Prov |09|FRI|2266|2216|98
97/98| Prov |09|SN|700|470|67
